GeneID,GeneName,Synonym,Tax_ID,Organism
44157038,CD630_RS19880,CD630_RS19880,272563,Clostridioides difficile 630
44157038,CD630_RS19880,CD630_35701,272563,Clostridioides difficile 630
44157037,CD630_RS19875,CD630_33682,272563,Clostridioides difficile 630
44157037,CD630_RS19875,CD630_RS19875,272563,Clostridioides difficile 630
44157036,CD630_RS19870,CD630_RS19870,272563,Clostridioides difficile 630
44157036,CD630_RS19870,CD630_33151,272563,Clostridioides difficile 630
44157035,CD630_RS19865,CD630_RS19865,272563,Clostridioides difficile 630
44157034,CD630_RS19860,CD630_RS19860,272563,Clostridioides difficile 630
44157033,CD630_RS19855,CD630_RS19855,272563,Clostridioides difficile 630
44157033,CD630_RS19855,CD630_29341,272563,Clostridioides difficile 630
44157032,CD630_RS19850,CD630_RS19850,272563,Clostridioides difficile 630
44157031,CD630_RS19845,CD630_RS19845,272563,Clostridioides difficile 630
44157031,CD630_RS19845,CD630_29101,272563,Clostridioides difficile 630
44157030,CD630_RS19840,CD630_RS19840,272563,Clostridioides difficile 630
44157030,CD630_RS19840,CD630_29071,272563,Clostridioides difficile 630
44157029,CD630_RS19835,CD630_RS19835,272563,Clostridioides difficile 630
44157029,CD630_RS19835,CD630_28890,272563,Clostridioides difficile 630
44157028,CD630_RS19830,CD630_RS19830,272563,Clostridioides difficile 630
44157028,CD630_RS19830,CD630_26871,272563,Clostridioides difficile 630
44157027,CD630_RS19825,CD630_RS19825,272563,Clostridioides difficile 630
44157026,CD630_RS19820,CD630_25171,272563,Clostridioides difficile 630
44157026,CD630_RS19820,CD630_RS19820,272563,Clostridioides difficile 630
44157025,CD630_RS19815,CD630_23591,272563,Clostridioides difficile 630
44157025,CD630_RS19815,CD630_RS19815,272563,Clostridioides difficile 630
44157024,CD630_RS19810,CD630_23090,272563,Clostridioides difficile 630
44157024,CD630_RS19810,CD630_RS19810,272563,Clostridioides difficile 630
44157023,CD630_RS19805,CD630_22991,272563,Clostridioides difficile 630
44157023,CD630_RS19805,CD630_RS19805,272563,Clostridioides difficile 630
44157022,CD630_RS19800,CD630_RS19800,272563,Clostridioides difficile 630
44157021,CD630_RS19795,CD630_22952,272563,Clostridioides difficile 630
44157021,CD630_RS19795,CD630_RS19795,272563,Clostridioides difficile 630
44157020,CD630_RS19790,CD630_RS19790,272563,Clostridioides difficile 630
44157020,CD630_RS19790,CD630_21501,272563,Clostridioides difficile 630
44157019,CD630_RS19785,CD630_RS19785,272563,Clostridioides difficile 630
44157018,CD630_RS19780,CD630_RS19780,272563,Clostridioides difficile 630
44157018,CD630_RS19780,CD630_20171,272563,Clostridioides difficile 630
44157017,CD630_RS19775,CD630_RS19775,272563,Clostridioides difficile 630
44157017,CD630_RS19775,CD630_19921,272563,Clostridioides difficile 630
44157016,CD630_RS19770,CD630_RS19770,272563,Clostridioides difficile 630
44157016,CD630_RS19770,CD630_19903,272563,Clostridioides difficile 630
44157015,CD630_RS19765,CD630_RS19765,272563,Clostridioides difficile 630
44157014,CD630_RS19760,CD630_19060,272563,Clostridioides difficile 630
44157014,CD630_RS19760,CD630_RS19760,272563,Clostridioides difficile 630
44157013,CD630_RS19755,CD630_RS19755,272563,Clostridioides difficile 630
44157012,CD630_RS19750,CD630_RS19750,272563,Clostridioides difficile 630
44157012,CD630_RS19750,CD630_18782,272563,Clostridioides difficile 630
44157011,CD630_RS19745,CD630_RS19745,272563,Clostridioides difficile 630
44157011,CD630_RS19745,CD630_18311,272563,Clostridioides difficile 630
44157010,CD630_RS19740,CD630_RS19740,272563,Clostridioides difficile 630
44157010,CD630_RS19740,CD630_16671,272563,Clostridioides difficile 630
44157009,CD630_RS19735,CD630_15461,272563,Clostridioides difficile 630
44157009,CD630_RS19735,CD630_RS19735,272563,Clostridioides difficile 630
44157008,CD630_RS19730,CD630_15071,272563,Clostridioides difficile 630
44157008,CD630_RS19730,CD630_RS19730,272563,Clostridioides difficile 630
44157007,CD630_RS19725,CD630_14240,272563,Clostridioides difficile 630
44157007,CD630_RS19725,CD630_RS19725,272563,Clostridioides difficile 630
44157006,CD630_RS19720,CD630_14182,272563,Clostridioides difficile 630
44157006,CD630_RS19720,CD630_RS19720,272563,Clostridioides difficile 630
44157005,CD630_RS19715,CD630_RS19715,272563,Clostridioides difficile 630
44157005,CD630_RS19715,CD630_13651,272563,Clostridioides difficile 630
44157004,CD630_RS19710,CD630_RS19710,272563,Clostridioides difficile 630
44157004,CD630_RS19710,CD630_13011,272563,Clostridioides difficile 630
44157003,CD630_RS19705,CD630_RS19705,272563,Clostridioides difficile 630
44157002,CD630_RS19700,CD630_RS19700,272563,Clostridioides difficile 630
44157002,CD630_RS19700,CD630_09771,272563,Clostridioides difficile 630
44157001,CD630_RS19695,CD630_RS19695,272563,Clostridioides difficile 630
44157001,CD630_RS19695,CD630_09562,272563,Clostridioides difficile 630
44157000,CD630_RS19690,CD630_09531,272563,Clostridioides difficile 630
44157000,CD630_RS19690,CD630_RS19690,272563,Clostridioides difficile 630
44156999,CD630_RS19685,CD630_RS19685,272563,Clostridioides difficile 630
44156999,CD630_RS19685,CD630_09390,272563,Clostridioides difficile 630
44156998,CD630_RS19680,CD630_RS19680,272563,Clostridioides difficile 630
44156998,CD630_RS19680,CD630_09301,272563,Clostridioides difficile 630
44156997,CD630_RS19675,CD630_RS19675,272563,Clostridioides difficile 630
44156997,CD630_RS19675,CD630_09230,272563,Clostridioides difficile 630
44156996,CD630_RS19670,CD630_RS19670,272563,Clostridioides difficile 630
44156996,CD630_RS19670,CD630_06380,272563,Clostridioides difficile 630
44156995,CD630_RS19665,CD630_RS19665,272563,Clostridioides difficile 630
44156995,CD630_RS19665,CD630_06140,272563,Clostridioides difficile 630
44156994,CD630_RS19660,CD630_05211,272563,Clostridioides difficile 630
44156994,CD630_RS19660,CD630_RS19660,272563,Clostridioides difficile 630
