GeneID,GeneName,Synonym,Tax_ID,Organism
44156993,CD630_RS19655,CD630_RS19655,272563,Clostridioides difficile 630
44156993,CD630_RS19655,CD630_05103,272563,Clostridioides difficile 630
44156992,CD630_RS19650,CD630_RS19650,272563,Clostridioides difficile 630
44156991,CD630_RS19645,CD630_RS19645,272563,Clostridioides difficile 630
44156991,CD630_RS19645,CD630_04401,272563,Clostridioides difficile 630
44156990,CD630_RS19640,CD630_RS19640,272563,Clostridioides difficile 630
44156990,CD630_RS19640,CD630_04352,272563,Clostridioides difficile 630
44156989,CD630_RS19635,CD630_RS19635,272563,Clostridioides difficile 630
44156989,CD630_RS19635,CD630_04080,272563,Clostridioides difficile 630
44156988,CD630_RS19630,CD630_RS19630,272563,Clostridioides difficile 630
44156988,CD630_RS19630,CD630_03901,272563,Clostridioides difficile 630
44156987,CD630_RS19625,CD630_RS19625,272563,Clostridioides difficile 630
44156987,CD630_RS19625,CD630_00511,272563,Clostridioides difficile 630
44145744,CD630_RS18045,CD630_RS18045,272563,Clostridioides difficile 630
44145744,CD630_RS18045,CD630_33911,272563,Clostridioides difficile 630
44145743,CD630_RS18020,CD630_RS18020,272563,Clostridioides difficile 630
44145742,CD630_RS17910,CD630_RS17910,272563,Clostridioides difficile 630
44145741,CD630_RS17880,CD630_RS17880,272563,Clostridioides difficile 630
44145740,CD630_RS17750,CD630_RS17750,272563,Clostridioides difficile 630
44145739,CD630_RS17060,CD630_RS17060,272563,Clostridioides difficile 630
44145738,ssrA,ssrA,272563,Clostridioides difficile 630
44145737,CD630_RS16775,CD630_RS16775,272563,Clostridioides difficile 630
44145736,CD630_RS15770,CD630_RS15770,272563,Clostridioides difficile 630
44145735,CD630_RS15685,CD630_RS15685,272563,Clostridioides difficile 630
44145734,CD630_RS15680,CD630_RS15680,272563,Clostridioides difficile 630
44145733,CD630_RS15615,CD630_RS15615,272563,Clostridioides difficile 630
44145731,CD630_RS15460,CD630_RS15460,272563,Clostridioides difficile 630
44145730,CD630_RS15420,CD630_RS15420,272563,Clostridioides difficile 630
44145729,CD630_RS15415,CD630_RS15415,272563,Clostridioides difficile 630
44145728,CD630_RS15065,CD630_RS15065,272563,Clostridioides difficile 630
44145727,rnpB,rnpB,272563,Clostridioides difficile 630
44145726,CD630_RS13980,CD630_RS13980,272563,Clostridioides difficile 630
44145725,CD630_RS13975,CD630_RS13975,272563,Clostridioides difficile 630
44145724,CD630_RS13970,CD630_RS13970,272563,Clostridioides difficile 630
44145723,CD630_RS13965,CD630_RS13965,272563,Clostridioides difficile 630
44145722,CD630_RS13960,CD630_RS13960,272563,Clostridioides difficile 630
44145721,CD630_RS13745,CD630_RS13745,272563,Clostridioides difficile 630
44145721,CD630_RS13745,CD630_25622,272563,Clostridioides difficile 630
44145720,CD630_RS13325,CD630_RS13325,272563,Clostridioides difficile 630
44145719,CD630_RS13200,CD630_RS13200,272563,Clostridioides difficile 630
44145718,CD630_RS12440,CD630_23052,272563,Clostridioides difficile 630
44145718,CD630_RS12440,CD630_RS12440,272563,Clostridioides difficile 630
44145717,CD630_RS12425,CD630_RS12425,272563,Clostridioides difficile 630
44145716,CD630_RS12400,CD630_RS12400,272563,Clostridioides difficile 630
44145715,CD630_RS12045,CD630_RS12045,272563,Clostridioides difficile 630
44145714,CD630_RS12030,CD630_RS12030,272563,Clostridioides difficile 630
44145713,CD630_RS11090,CD630_RS11090,272563,Clostridioides difficile 630
44145712,CD630_RS10880,CD630_RS10880,272563,Clostridioides difficile 630
44145711,CD630_RS10860,CD630_RS10860,272563,Clostridioides difficile 630
44145710,CD630_RS10850,CD630_RS10850,272563,Clostridioides difficile 630
44145709,CD630_RS10810,CD630_RS10810,272563,Clostridioides difficile 630
44145708,CD630_RS10780,CD630_RS10780,272563,Clostridioides difficile 630
44145707,CD630_RS10445,CD630_19270,272563,Clostridioides difficile 630
44145707,CD630_RS10445,CD630_RS10445,272563,Clostridioides difficile 630
44145706,CD630_RS10280,CD630_RS10280,272563,Clostridioides difficile 630
44145705,CD630_RS10230,CD630_RS10230,272563,Clostridioides difficile 630
44145704,CD630_RS10220,CD630_RS10220,272563,Clostridioides difficile 630
44145703,CD630_RS10210,CD630_RS10210,272563,Clostridioides difficile 630
44145702,CD630_RS10030,CD630_RS10030,272563,Clostridioides difficile 630
44145701,ade,ade,272563,Clostridioides difficile 630
44145700,CD630_RS09905,CD630_RS09905,272563,Clostridioides difficile 630
44145699,CD630_RS09845,CD630_RS09845,272563,Clostridioides difficile 630
44145698,CD630_RS09820,CD630_RS09820,272563,Clostridioides difficile 630
44145697,CD630_RS09360,CD630_RS09360,272563,Clostridioides difficile 630
44145696,CD630_RS09350,CD630_RS09350,272563,Clostridioides difficile 630
44145695,CD630_RS09070,CD630_RS09070,272563,Clostridioides difficile 630
44145694,kdpF,kdpF,272563,Clostridioides difficile 630
44145693,CD630_RS08585,CD630_RS08585,272563,Clostridioides difficile 630
44145692,CD630_RS08570,CD630_RS08570,272563,Clostridioides difficile 630
44145691,murJ,murJ,272563,Clostridioides difficile 630
44145690,CD630_RS08210,CD630_RS08210,272563,Clostridioides difficile 630
44145689,CD630_RS07585,CD630_RS07585,272563,Clostridioides difficile 630
44145688,CD630_RS07275,CD630_RS07275,272563,Clostridioides difficile 630
44145687,CD630_RS06905,CD630_RS06905,272563,Clostridioides difficile 630
44145686,CD630_RS06875,CD630_RS06875,272563,Clostridioides difficile 630
44145685,CD630_RS06870,CD630_RS06870,272563,Clostridioides difficile 630
44145684,CD630_RS06835,CD630_RS06835,272563,Clostridioides difficile 630
44145683,CD630_RS06165,CD630_RS06165,272563,Clostridioides difficile 630
44145682,ssrS,ssrS,272563,Clostridioides difficile 630
44145681,CD630_RS05660,CD630_RS05660,272563,Clostridioides difficile 630
44145680,CD630_RS05500,CD630_RS05500,272563,Clostridioides difficile 630
44145678,CD630_RS05290,CD630_RS05290,272563,Clostridioides difficile 630
44145678,CD630_RS05290,CD630_09401,272563,Clostridioides difficile 630
44145677,CD630_RS05100,CD630_RS05100,272563,Clostridioides difficile 630
44145676,CD630_RS04880,CD630_RS04880,272563,Clostridioides difficile 630
44145675,CD630_RS04875,CD630_RS04875,272563,Clostridioides difficile 630
44145674,CD630_RS04420,CD630_07660,272563,Clostridioides difficile 630
44145674,CD630_RS04420,CD630_RS04420,272563,Clostridioides difficile 630
44145673,CD630_RS03875,CD630_RS03875,272563,Clostridioides difficile 630
44145672,CD630_RS03610,CD630_RS03610,272563,Clostridioides difficile 630
44145671,CD630_RS03600,CD630_RS03600,272563,Clostridioides difficile 630
44145670,CD630_RS03585,CD630_RS03585,272563,Clostridioides difficile 630
44145669,CD630_RS03135,CD630_RS03135,272563,Clostridioides difficile 630
44145668,CD630_RS03090,CD630_RS03090,272563,Clostridioides difficile 630
44145667,CD630_RS03080,CD630_RS03080,272563,Clostridioides difficile 630
44145666,CD630_RS03045,CD630_04981,272563,Clostridioides difficile 630
44145666,CD630_RS03045,CD630_RS03045,272563,Clostridioides difficile 630
44145665,CD630_RS03025,CD630_RS03025,272563,Clostridioides difficile 630
44145664,CD630_RS02815,CD630_RS02815,272563,Clostridioides difficile 630
44145663,CD630_RS02485,CD630_RS02485,272563,Clostridioides difficile 630
44145662,CD630_RS02330,CD630_RS02330,272563,Clostridioides difficile 630
44145661,CD630_RS01990,CD630_RS01990,272563,Clostridioides difficile 630
44145660,CD630_RS01510,CD630_RS01510,272563,Clostridioides difficile 630
44145659,larC,larC,272563,Clostridioides difficile 630
44145658,CD630_RS01425,CD630_RS01425,272563,Clostridioides difficile 630
44145657,ffs,ffs,272563,Clostridioides difficile 630
36348046,CD630_RS19605,CDP01,272563,Clostridioides difficile 630
36348046,CD630_RS19605,'CDP11,272563,Clostridioides difficile 630
36348046,CD630_RS19605,CD630_p101,272563,Clostridioides difficile 630
36348046,CD630_RS19605,CD630_RS19605,272563,Clostridioides difficile 630
13439781,CD630_RS05205,CD630_09231,272563,Clostridioides difficile 630
13439781,CD630_RS05205,CD630_RS05205,272563,Clostridioides difficile 630
13439780,CD630_RS04140,CD630_RS04140,272563,Clostridioides difficile 630
13439780,CD630_RS04140,CD630_07121,272563,Clostridioides difficile 630
13439779,CD630_RS04045,CD630_RS04045,272563,Clostridioides difficile 630
13439779,CD630_RS04045,CD630_06941,272563,Clostridioides difficile 630
13439776,CD630_RS03775,CD630_RS03775,272563,Clostridioides difficile 630
13439776,CD630_RS03775,CD630_06421,272563,Clostridioides difficile 630
13439773,CD630_RS03605,CD630_06071,272563,Clostridioides difficile 630
13439773,CD630_RS03605,CD630_RS03605,272563,Clostridioides difficile 630
13439770,CD630_RS03535,CD630_RS03535,272563,Clostridioides difficile 630
13439770,CD630_RS03535,CD630_05921,272563,Clostridioides difficile 630
13439769,CD630_RS03480,CD630_05822,272563,Clostridioides difficile 630
13439769,CD630_RS03480,CD630_RS03480,272563,Clostridioides difficile 630
13439760,CD630_RS02435,CD630_03780,272563,Clostridioides difficile 630
13439760,CD630_RS02435,CD630_RS02435,272563,Clostridioides difficile 630
13439758,CD630_RS02000,CD630_02921,272563,Clostridioides difficile 630
13439758,CD630_RS02000,CD630_RS02000,272563,Clostridioides difficile 630
13439751,CD630_RS08715,CD630_15951,272563,Clostridioides difficile 630
13439751,CD630_RS08715,CD630_RS08715,272563,Clostridioides difficile 630
13439749,CD630_RS18305,CD630_34391,272563,Clostridioides difficile 630
13439749,CD630_RS18305,CD630_RS18305,272563,Clostridioides difficile 630
13439740,CD630_RS18005,CD630_33861,272563,Clostridioides difficile 630
13439740,CD630_RS18005,CD630_RS18005,272563,Clostridioides difficile 630
13439739,CD630_RS17965,CD630_33781,272563,Clostridioides difficile 630
13439739,CD630_RS17965,CD630_RS17965,272563,Clostridioides difficile 630
13439738,CD630_RS17930,CD630_RS17930,272563,Clostridioides difficile 630
13439738,CD630_RS17930,CD630_33722,272563,Clostridioides difficile 630
13439734,CD630_RS17745,CD630_RS17745,272563,Clostridioides difficile 630
13439734,CD630_RS17745,CD630_33410,272563,Clostridioides difficile 630
13439732,CD630_RS16795,CD630_31563,272563,Clostridioides difficile 630
13439732,CD630_RS16795,CD630_RS16795,272563,Clostridioides difficile 630
13439723,scfA,scfA,272563,Clostridioides difficile 630
13439723,scfA,CD630_27991,272563,Clostridioides difficile 630
13439722,CD630_RS14630,CD630_27341,272563,Clostridioides difficile 630
13439722,CD630_RS14630,CD630_RS14630,272563,Clostridioides difficile 630
13439718,CD630_RS13685,CD630_25530,272563,Clostridioides difficile 630
13439718,CD630_RS13685,CD630_RS13685,272563,Clostridioides difficile 630
13439715,CD630_RS13145,CD630_RS13145,272563,Clostridioides difficile 630
13439715,CD630_RS13145,CD630_24460,272563,Clostridioides difficile 630
13439714,CD630_RS12835,CD630_RS12835,272563,Clostridioides difficile 630
13439714,CD630_RS12835,CD630_23861,272563,Clostridioides difficile 630
13439710,CD630_RS12405,CD630_22990,272563,Clostridioides difficile 630
13439710,CD630_RS12405,CD630_RS12405,272563,Clostridioides difficile 630
13439702,CD630_RS11765,CD630_RS11765,272563,Clostridioides difficile 630
13439702,CD630_RS11765,CD630_21710,272563,Clostridioides difficile 630
13439701,CD630_RS11725,CD630_21631,272563,Clostridioides difficile 630
13439701,CD630_RS11725,CD630_RS11725,272563,Clostridioides difficile 630
13439697,CD630_RS11535,CD630_RS11535,272563,Clostridioides difficile 630
13439697,CD630_RS11535,CD630_21251,272563,Clostridioides difficile 630
13439695,CD630_RS11480,CD630_RS11480,272563,Clostridioides difficile 630
13439695,CD630_RS11480,CD630_21152,272563,Clostridioides difficile 630
13439694,CD630_RS11475,CD630_21151,272563,Clostridioides difficile 630
13439694,CD630_RS11475,CD630_RS11475,272563,Clostridioides difficile 630
13439693,CD630_RS11405,CD630_21021,272563,Clostridioides difficile 630
13439693,CD630_RS11405,CD630_RS11405,272563,Clostridioides difficile 630
13439692,CD630_RS11115,CD630_RS11115,272563,Clostridioides difficile 630
13439692,CD630_RS11115,CD630_20451,272563,Clostridioides difficile 630
13439688,CD630_RS10930,CD630_RS10930,272563,Clostridioides difficile 630
13439688,CD630_RS10930,CD630_20103,272563,Clostridioides difficile 630
13439686,CD630_RS10835,CD630_19981,272563,Clostridioides difficile 630
13439686,CD630_RS10835,CD630_RS10835,272563,Clostridioides difficile 630
13439682,CD630_RS10730,CD630_RS10730,272563,Clostridioides difficile 630
13439682,CD630_RS10730,CD630_19820,272563,Clostridioides difficile 630
13439680,CD630_RS10515,CD630_RS10515,272563,Clostridioides difficile 630
13439680,CD630_RS10515,CD630_19401,272563,Clostridioides difficile 630
13439677,CD630_RS09865,CD630_RS09865,272563,Clostridioides difficile 630
13439677,CD630_RS09865,CD630_18120,272563,Clostridioides difficile 630
13439676,CD630_RS09540,CD630_RS09540,272563,Clostridioides difficile 630
13439676,CD630_RS09540,CD630_17511,272563,Clostridioides difficile 630
13439675,CD630_RS09500,CD630_RS09500,272563,Clostridioides difficile 630
13439675,CD630_RS09500,CD630_17452,272563,Clostridioides difficile 630
13439674,CD630_RS09420,CD630_17292,272563,Clostridioides difficile 630
13439674,CD630_RS09420,CD630_RS09420,272563,Clostridioides difficile 630
13439673,CD630_RS09415,CD630_RS09415,272563,Clostridioides difficile 630
13439673,CD630_RS09415,CD630_17291,272563,Clostridioides difficile 630
13439672,CD630_RS09405,CD630_RS09405,272563,Clostridioides difficile 630
13439672,CD630_RS09405,CD630_17281,272563,Clostridioides difficile 630
13439665,CD630_RS08300,CD630_15152,272563,Clostridioides difficile 630
13439665,CD630_RS08300,CD630_RS08300,272563,Clostridioides difficile 630
13439664,CD630_RS08275,CD630_RS08275,272563,Clostridioides difficile 630
13439664,CD630_RS08275,CD630_15111,272563,Clostridioides difficile 630
13439662,CD630_RS06885,CD630_12382,272563,Clostridioides difficile 630
13439662,CD630_RS06885,CD630_RS06885,272563,Clostridioides difficile 630
13439656,CD630_RS06855,CD630_12333,272563,Clostridioides difficile 630
13439656,CD630_RS06855,CD630_RS06855,272563,Clostridioides difficile 630
13439653,CD630_RS05485,CD630_09772,272563,Clostridioides difficile 630
13439653,CD630_RS05485,CD630_RS05485,272563,Clostridioides difficile 630
13439647,CD630_RS06090,CD630_RS06090,272563,Clostridioides difficile 630
13439647,CD630_RS06090,CD630_10900,272563,Clostridioides difficile 630
13439646,CD630_RS00125,CD630_RS00125,272563,Clostridioides difficile 630
13439646,CD630_RS00125,CD630_00181,272563,Clostridioides difficile 630
13439645,CD630_RS13090,CD630_RS13090,272563,Clostridioides difficile 630
13439645,CD630_RS13090,CD630_24351,272563,Clostridioides difficile 630
13439644,CD630_RS17360,CD630_32640,272563,Clostridioides difficile 630
13439644,CD630_RS17360,CD630_RS17360,272563,Clostridioides difficile 630
13439641,CD630_RS03580,CD630_06011,272563,Clostridioides difficile 630
13439641,CD630_RS03580,CD630_RS03580,272563,Clostridioides difficile 630
13439639,CD630_RS10950,CD630_20141,272563,Clostridioides difficile 630
13439639,CD630_RS10950,CD630_RS10950,272563,Clostridioides difficile 630
4924886,CD630_RS13150,CD630_RS13150,272563,Clostridioides difficile 630
4924886,CD630_RS13150,CD630_24461,272563,Clostridioides difficile 630
4924885,tnpB,CD630_25531,272563,Clostridioides difficile 630
4924885,tnpB,tnpB,272563,Clostridioides difficile 630
4916839,CD630_RS04565,CD630_07950,272563,Clostridioides difficile 630
4916839,CD630_RS04565,CD630_RS04565,272563,Clostridioides difficile 630
4916838,nadE,CD630_07940,272563,Clostridioides difficile 630
4916838,nadE,nadE,272563,Clostridioides difficile 630
4916837,CD630_RS04555,CD630_07930,272563,Clostridioides difficile 630
4916837,CD630_RS04555,CD630_RS04555,272563,Clostridioides difficile 630
4916836,CD630_RS04550,CD630_RS04550,272563,Clostridioides difficile 630
4916836,CD630_RS04550,CD630_07920,272563,Clostridioides difficile 630
4916835,CD630_RS04545,CD630_07910,272563,Clostridioides difficile 630
4916835,CD630_RS04545,CD630_RS04545,272563,Clostridioides difficile 630
4916834,CD630_RS04540,CD630_07900,272563,Clostridioides difficile 630
4916834,CD630_RS04540,CD630_RS04540,272563,Clostridioides difficile 630
4916833,CD630_RS04535,CD630_07890,272563,Clostridioides difficile 630
4916833,CD630_RS04535,CD630_RS04535,272563,Clostridioides difficile 630
4916832,hflX,hflX,272563,Clostridioides difficile 630
4916832,hflX,CD630_07880,272563,Clostridioides difficile 630
4916831,CD630_RS04525,CD630_07870,272563,Clostridioides difficile 630
4916831,CD630_RS04525,CD630_RS04525,272563,Clostridioides difficile 630
4916830,CD630_RS04520,CD630_RS04520,272563,Clostridioides difficile 630
4916830,CD630_RS04520,CD630_07860,272563,Clostridioides difficile 630
4916829,CD630_RS04515,CD630_RS04515,272563,Clostridioides difficile 630
4916829,CD630_RS04515,CD630_07850,272563,Clostridioides difficile 630
4916828,CD630_RS04180,CD630_07190,272563,Clostridioides difficile 630
4916828,CD630_RS04180,CD630_RS04180,272563,Clostridioides difficile 630
4916827,CD630_RS04175,CD630_07180,272563,Clostridioides difficile 630
4916827,CD630_RS04175,CD630_RS04175,272563,Clostridioides difficile 630
4916826,CD630_RS04170,CD630_07170,272563,Clostridioides difficile 630
4916826,CD630_RS04170,CD630_RS04170,272563,Clostridioides difficile 630
4916825,cooS,CD630_07160,272563,Clostridioides difficile 630
4916825,cooS,cooS,272563,Clostridioides difficile 630
4916824,CD630_RS04160,CD630_07150,272563,Clostridioides difficile 630
4916824,CD630_RS04160,CD630_RS04160,272563,Clostridioides difficile 630
4916823,CD630_RS04155,CD630_07141,272563,Clostridioides difficile 630
4916823,CD630_RS04155,CD630_RS04155,272563,Clostridioides difficile 630
4916822,CD630_RS04150,CD630_07140,272563,Clostridioides difficile 630
4916822,CD630_RS04150,CD630_RS04150,272563,Clostridioides difficile 630
4916821,CD630_RS04145,CD630_07130,272563,Clostridioides difficile 630
4916821,CD630_RS04145,CD630_RS04145,272563,Clostridioides difficile 630
4916820,CD630_RS04135,CD630_07120,272563,Clostridioides difficile 630
4916820,CD630_RS04135,CD630_RS04135,272563,Clostridioides difficile 630
4916819,CD630_RS04130,CD630_RS04130,272563,Clostridioides difficile 630
4916819,CD630_RS04130,CD630_07110,272563,Clostridioides difficile 630
4916818,CD630_RS04125,CD630_07100,272563,Clostridioides difficile 630
4916818,CD630_RS04125,CD630_RS04125,272563,Clostridioides difficile 630
4916817,CD630_RS04120,CD630_RS04120,272563,Clostridioides difficile 630
4916817,CD630_RS04120,CD630_07090,272563,Clostridioides difficile 630
4916816,CD630_RS04115,CD630_07080,272563,Clostridioides difficile 630
4916816,CD630_RS04115,CD630_RS04115,272563,Clostridioides difficile 630
4916815,CD630_RS04110,CD630_RS04110,272563,Clostridioides difficile 630
4916815,CD630_RS04110,CD630_07070,272563,Clostridioides difficile 630
4916814,CD630_RS04105,CD630_RS04105,272563,Clostridioides difficile 630
4916814,CD630_RS04105,CD630_07060,272563,Clostridioides difficile 630
4916813,CD630_RS04100,CD630_07050,272563,Clostridioides difficile 630
4916813,CD630_RS04100,CD630_RS04100,272563,Clostridioides difficile 630
4916812,CD630_RS04095,CD630_07040,272563,Clostridioides difficile 630
4916812,CD630_RS04095,CD630_RS04095,272563,Clostridioides difficile 630
4916811,CD630_RS04090,CD630_07030,272563,Clostridioides difficile 630
4916811,CD630_RS04090,CD630_RS04090,272563,Clostridioides difficile 630
4916810,CD630_RS04085,CD630_RS04085,272563,Clostridioides difficile 630
4916810,CD630_RS04085,CD630_07020,272563,Clostridioides difficile 630
4916809,zapA,CD630_07010,272563,Clostridioides difficile 630
4916809,zapA,zapA,272563,Clostridioides difficile 630
4916808,CD630_RS04075,CD630_RS04075,272563,Clostridioides difficile 630
4916808,CD630_RS04075,CD630_07000,272563,Clostridioides difficile 630
4916807,pheS,CD630_06990,272563,Clostridioides difficile 630
4916807,pheS,pheS,272563,Clostridioides difficile 630
4916805,CD630_RS04065,CD630_RS04065,272563,Clostridioides difficile 630
4916805,CD630_RS04065,CD630_06980,272563,Clostridioides difficile 630
4916804,CD630_RS04060,CD630_RS04060,272563,Clostridioides difficile 630
4916804,CD630_RS04060,CD630_06970,272563,Clostridioides difficile 630
4916803,CD630_RS04055,CD630_06960,272563,Clostridioides difficile 630
4916803,CD630_RS04055,CD630_RS04055,272563,Clostridioides difficile 630
4916802,CD630_RS04050,CD630_RS04050,272563,Clostridioides difficile 630
4916802,CD630_RS04050,CD630_06950,272563,Clostridioides difficile 630
4916801,CD630_RS04950,CD630_RS04950,272563,Clostridioides difficile 630
4916801,CD630_RS04950,CD630_08730,272563,Clostridioides difficile 630
4916800,CD630_RS04945,CD630_08720,272563,Clostridioides difficile 630
4916800,CD630_RS04945,CD630_RS04945,272563,Clostridioides difficile 630
4916799,CD630_RS04940,CD630_RS04940,272563,Clostridioides difficile 630
4916799,CD630_RS04940,CD630_08710,272563,Clostridioides difficile 630
4916798,modB,CD630_08700,272563,Clostridioides difficile 630
4916798,modB,modB,272563,Clostridioides difficile 630
4916797,modA,modA,272563,Clostridioides difficile 630
4916797,modA,CD630_08690,272563,Clostridioides difficile 630
4916796,CD630_RS04925,CD630_RS04925,272563,Clostridioides difficile 630
4916796,CD630_RS04925,CD630_08680,272563,Clostridioides difficile 630
4916795,CD630_RS04920,CD630_08670,272563,Clostridioides difficile 630
4916795,CD630_RS04920,CD630_RS04920,272563,Clostridioides difficile 630
4916794,CD630_RS04915,CD630_RS04915,272563,Clostridioides difficile 630
4916794,CD630_RS04915,CD630_08660,272563,Clostridioides difficile 630
4916793,CD630_RS04910,CD630_RS04910,272563,Clostridioides difficile 630
4916793,CD630_RS04910,CD630_08650,272563,Clostridioides difficile 630
4916792,CD630_RS04905,CD630_08640,272563,Clostridioides difficile 630
4916792,CD630_RS04905,CD630_RS04905,272563,Clostridioides difficile 630
4916791,CD630_RS04900,CD630_RS04900,272563,Clostridioides difficile 630
4916791,CD630_RS04900,CD630_08630,272563,Clostridioides difficile 630
